nfhs4_statecode,nfhs4_state,P05,P10,P20,P30,P40,P50,P60,P70,P80,P90,P95,region,measure
MP,Madhya Pradesh,652,751,881,1039,1178,1377,1557,1804,2286,3390,4667,Urban,MRP
MH,Maharashtra,982,1149,1458,1673,1920,2206,2520,2969,3685,5413,7004,Urban,MRP
MN,Manipur,785,817,1028,1151,1244,1338,1424,1543,1751,2117,2593,Urban,MRP
ML,Meghalaya,981,1164,1456,1724,1967,2147,2346,2625,2935,3660,3989,Urban,MRP
MZ,Mizoram,1122,1252,1491,1703,1944,2176,2399,2710,3144,3929,4568,Urban,MRP
NL,Nagaland,1107,1205,1345,1641,1901,2101,2287,2687,3135,3507,3976,Urban,MRP
OR,Odisha,656,736,890,1058,1142,1393,1678,1961,2447,3352,4638,Urban,MRP
PB,Punjab,1003,1177,1488,1747,1979,2263,2578,2921,3419,4428,5761,Urban,MRP
RJ,Rajasthan,868,991,1189,1415,1592,1769,1976,2352,2870,3766,5217,Urban,MRP
SK,Sikkim,1406,1554,1722,1963,2255,2370,2495,2682,3013,3577,4694,Urban,MRP
TN,Tamil Nadu,898,1059,1278,1524,1780,2036,2315,2719,3325,4532,6054,Urban,MRP
TR,Tripura,791,982,1086,1228,1388,1645,2010,2367,2909,3633,4019,Urban,MRP
UP,Uttar Pradesh,637,723,850,987,1118,1271,1483,1838,2311,3522,6604,Urban,MRP
UT,Uttarakhand,958,1075,1209,1364,1619,1829,2178,2576,3055,3990,5625,Urban,MRP
WB,West Bengal,768,858,1080,1288,1517,1847,2179,2619,3266,4547,5845,Urban,MRP
AN,Andaman & Nicobar Islands,1917,2047,2301,2562,2939,3276,3712,4279,5635,7729,11014,Urban,MRP
CH,Chandigarh,879,930,1117,1449,1870,2176,2697,3531,4454,5832,7244,Urban,MRP
DN,Dadra & Nagar Haveli,987,1094,1169,1371,1501,1876,2369,2655,3313,3751,5368,Urban,MRP
DD,Daman & Diu,859,1096,1189,1383,1673,1915,2082,2423,3132,3806,3942,Urban,MRP
LK,Lakshadweep,1063,1155,1517,1778,2001,2229,2441,2745,3392,4520,6020,Urban,MRP
PY,Puducherry,1255,1515,1755,1970,2234,2489,2888,3373,3761,4751,5833,Urban,MRP
IN,India,771,909,1142,1367,1602,1866,2190,2596,3235,4512,6282,Urban,MRP
AP,Andhra Pradesh,860,982,1135,1258,1395,1521,1669,1869,2149,2628,3139,Rural,MMRP
AR,Arunachal Pradesh,637,699,896,997,1158,1336,1571,1959,2496,3475,4401,Rural,MMRP
AS,Assam,646,702,812,914,995,1078,1208,1316,1519,1854,2217,Rural,MMRP
BR,Bihar,608,686,799,884,969,1032,1123,1219,1395,1690,1958,Rural,MMRP
CT,Chhattisgarh,529,587,677,769,840,917,978,1087,1275,1514,1865,Rural,MMRP
DL,NCT of Delhi,1190,1304,1878,1955,2117,2287,2421,2794,4029,4472,4504,Rural,MMRP
GA,Goa,1210,1380,1468,1655,1927,2204,2333,2671,2974,3284,4505,Rural,MMRP
GJ,Gujarat,727,864,993,1089,1202,1333,1449,1644,1924,2402,2905,Rural,MMRP
HR,Haryana,944,1089,1307,1497,1710,1884,2111,2439,2814,3503,4200,Rural,MMRP
HP,Himachal Pradesh,932,1028,1211,1368,1512,1695,1904,2140,2491,3163,4071,Rural,MMRP
JK,Jammu & Kashmir,814,988,1159,1275,1421,1537,1713,1918,2160,2636,3224,Rural,MMRP
JH,Jharkhand,539,610,696,784,843,937,1015,1098,1205,1436,1710,Rural,MMRP
KA,Karnataka,769,850,978,1113,1202,1320,1462,1591,1839,2459,3072,Rural,MMRP
KL,Kerala,977,1104,1327,1526,1736,1995,2309,2594,3118,4216,5660,Rural,MMRP
MP,Madhya Pradesh,500,574,706,807,888,987,1106,1230,1468,1823,2260,Rural,MMRP
MH,Maharashtra,779,906,1049,1165,1270,1383,1525,1691,1960,2487,3033,Rural,MMRP
MN,Manipur,780,869,1040,1158,1236,1344,1455,1614,1856,2301,2729,Rural,MMRP
ML,Meghalaya,853,970,1051,1157,1272,1344,1455,1611,1800,2114,2477,Rural,MMRP
MZ,Mizoram,788,895,1058,1168,1295,1460,1643,1834,2158,2644,3141,Rural,MMRP
NL,Nagaland,1177,1314,1502,1637,1703,1824,1986,2233,2477,2920,3597,Rural,MMRP
OR,Odisha,502,559,652,748,814,891,980,1095,1254,1539,1876,Rural,MMRP
PB,Punjab,1054,1175,1378,1565,1748,1974,2241,2527,2945,3703,4687,Rural,MMRP
RJ,Rajasthan,725,879,1022,1159,1289,1405,1532,1719,1912,2367,2854,Rural,MMRP
SK,Sikkim,927,1028,1122,1204,1290,1354,1471,1635,1896,2311,2723,Rural,MMRP
TN,Tamil Nadu,686,822,1003,1163,1313,1442,1615,1822,2150,2822,3540,Rural,MMRP
TR,Tripura,683,777,910,1005,1103,1186,1295,1462,1667,2102,2501,Rural,MMRP
UP,Uttar Pradesh,569,638,744,829,906,1004,1110,1233,1421,1800,2190,Rural,MMRP
UT,Uttarakhand,857,988,1104,1238,1326,1449,1639,1849,2160,2717,3306,Rural,MMRP
WB,West Bengal,653,745,839,934,1029,1138,1247,1365,1574,1950,2402,Rural,MMRP
AN,Andaman & Nicobar Islands,1186,1457,1620,1768,1926,2169,2561,2757,3313,4213,5593,Rural,MMRP
CH,Chandigarh,1192,1239,1378,1679,2034,2078,2377,2714,3178,4798,6399,Rural,MMRP
DN,Dadra & Nagar Haveli,542,606,697,786,824,966,1119,1239,1384,1947,2013,Rural,MMRP
DD,Daman & Diu,1347,1396,1469,1539,1636,1942,2239,2504,3459,4557,4916,Rural,MMRP
LK,Lakshadweep,1337,1636,1923,2166,2442,2480,2626,2692,3035,4785,5535,Rural,MMRP
PY,Puducherry,1077,1171,1400,1509,1865,2029,2255,2391,2601,3188,3512,Rural,MMRP
IN,India,616,710,845,963,1075,1198,1341,1522,1793,2296,2886,Rural,MMRP
AP,Andhra Pradesh,1024,1180,1509,1725,1963,2217,2539,2975,3600,4359,5771,Urban,MMRP
AR,Arunachal Pradesh,708,895,1163,1452,1766,2090,2499,3004,3671,5115,6693,Urban,MMRP
AS,Assam,786,867,1062,1313,1546,1824,2079,2292,2933,3899,5324,Urban,MMRP
BR,Bihar,621,705,868,971,1111,1217,1374,1643,1993,2626,3407,Urban,MMRP
CT,Chhattisgarh,617,700,855,1046,1178,1393,1684,1974,2461,3362,4635,Urban,MMRP
DL,NCT of Delhi,1192,1316,1656,1904,2148,2454,2860,3510,4337,6431,7865,Urban,MMRP
GA,Goa,1203,1505,1695,1983,2275,2702,3098,3398,4142,5060,5900,Urban,MMRP
GJ,Gujarat,1035,1198,1449,1720,1970,2267,2486,2870,3256,4127,5137,Urban,MMRP
HR,Haryana,1048,1384,1735,1989,2273,2629,3034,3493,4419,7795,10741,Urban,MMRP
HP,Himachal Pradesh,1146,1452,1872,2184,2480,2717,3101,3659,4402,5526,6588,Urban,MMRP
JK,Jammu & Kashmir,959,1115,1356,1605,1835,2032,2362,2752,3258,4210,5389,Urban,MMRP
JH,Jharkhand,687,833,1048,1229,1473,1758,1987,2231,2698,3371,4152,Urban,MMRP
KA,Karnataka,886,1023,1274,1498,1804,2222,2673,3159,3580,5350,8071,Urban,MMRP
KL,Kerala,1044,1238,1464,1735,1988,2363,2712,3220,4086,5865,8741,Urban,MMRP
MP,Madhya Pradesh,704,812,961,1149,1309,1543,1795,2148,2681,3845,5061,Urban,MMRP
MH,Maharashtra,1118,1334,1652,1865,2131,2432,2767,3258,3907,5384,7407,Urban,MMRP
MN,Manipur,776,806,1055,1184,1264,1360,1443,1519,1816,2265,2676,Urban,MMRP
ML,Meghalaya,999,1224,1670,1920,2091,2264,2401,2589,3054,3712,4408,Urban,MMRP
MZ,Mizoram,1121,1258,1643,1899,2155,2426,2597,2925,3410,4066,4612,Urban,MMRP
NL,Nagaland,1049,1207,1314,1596,1858,2153,2422,2722,3086,3517,4172,Urban,MMRP
OR,Odisha,598,754,906,1146,1268,1412,1727,2114,2649,3744,4938,Urban,MMRP
PB,Punjab,1030,1257,1518,1785,2004,2263,2573,3086,3651,4599,6570,Urban,MMRP
RJ,Rajasthan,900,1086,1344,1538,1745,1974,2220,2457,3022,4154,5555,Urban,MMRP
SK,Sikkim,1273,1505,1841,1991,2139,2353,2479,2836,3410,3960,4968,Urban,MMRP
TN,Tamil Nadu,975,1121,1369,1609,1857,2064,2401,2803,3411,4586,6223,Urban,MMRP
TR,Tripura,923,1002,1156,1366,1489,1741,2098,2477,2869,3664,4288,Urban,MMRP
UP,Uttar Pradesh,677,780,936,1094,1230,1428,1690,2012,2534,3662,5700,Urban,MMRP
UT,Uttarakhand,838,1021,1243,1418,1737,1962,2251,2541,3105,4042,5400,Urban,MMRP
WB,West Bengal,808,943,1165,1398,1692,1952,2290,2703,3435,4757,6581,Urban,MMRP
AN,Andaman & Nicobar Islands,1793,2158,2534,2823,3242,3626,3887,4281,5634,8291,13873,Urban,MMRP
CH,Chandigarh,931,1161,1442,1809,2066,2380,3144,3699,4270,7000,9445,Urban,MMRP
DN,Dadra & Nagar Haveli,1060,1124,1573,1837,2020,2106,2334,2476,3359,5382,5563,Urban,MMRP
DD,Daman & Diu,878,1089,1482,1921,2113,2283,2347,2387,2671,4184,4590,Urban,MMRP
LK,Lakshadweep,1261,1567,1643,1930,2055,2327,2711,3192,3851,5468,6435,Urban,MMRP
PY,Puducherry,1242,1469,1842,2142,2461,2716,3040,3390,4028,5064,6334,Urban,MMRP
IN,India,827,983,1239,1490,1757,2019,2349,2771,3390,4610,6383,Urban,MMRP
